DATE,City,Temperature_C,Humidity_pct,Wind_Speed_ms,Rainfall_3day,Rainfall_7day,Rainfall_14day,Rainfall_cumsum7,Month,Is_Monsoon,Flood,Flash_Flood
2024-02-20,Kuching,27.56,84.57,1.01,5.890000000000004,21.24285714285714,26.037857142857142,148.7,2,0,0,0
2024-02-21,Kuching,27.3,87.43,1.25,2.6600000000000046,18.534285714285712,25.859999999999996,129.73999999999998,2,0,0,0
2024-02-22,Kuching,27.43,89.69,1.13,3.7366666666666717,13.739999999999997,26.430714285714284,96.17999999999998,2,0,0,0
2024-02-23,Kuching,27.43,86.42,1.14,3.626666666666672,7.814285714285711,26.26214285714286,54.69999999999998,2,0,0,0
2024-02-24,Kuching,27.53,86.83,1.21,3.540000000000005,4.241428571428569,23.665,29.689999999999987,2,0,0,0
2024-02-25,Kuching,26.99,91.25,1.01,4.720000000000005,4.387142857142855,18.982142857142858,30.709999999999987,2,0,0,0
2024-02-26,Kuching,27.04,88.78,1.04,5.906666666666671,4.262857142857141,15.427142857142856,29.839999999999986,2,0,0,0
2024-02-27,Kuching,27.07,87.31,1.16,19.47666666666667,10.064285714285713,15.65357142857143,70.44999999999999,2,0,0,0
2024-02-28,Kuching,27.56,87.64,1.11,20.910000000000007,12.208571428571426,15.371428571428572,85.45999999999998,2,0,0,0
2024-02-29,Kuching,26.9,91.47,0.99,22.950000000000006,12.497142857142856,13.11857142857143,87.47999999999999,2,0,0,0
2024-03-01,Kuching,26.8,92.43,0.96,34.18333333333334,23.16,15.487142857142857,162.12,3,0,1,0
2024-03-02,Kuching,26.56,95.07,1.03,46.663333333333334,30.689999999999998,17.465714285714288,214.82999999999998,3,0,1,0
2024-03-03,Kuching,27.05,90.85,0.89,44.51333333333334,29.55142857142857,16.969285714285714,206.85999999999999,3,0,0,0
2024-03-04,Kuching,27.64,90.42,0.91,23.400000000000006,30.657142857142855,17.46,214.6,3,0,0,0
2024-03-05,Kuching,27.12,92.36,0.86,12.973333333333338,27.90285714285714,18.983571428571427,195.32,3,0,0,0
2024-03-06,Kuching,27.31,88.56,0.63,13.186666666666673,26.241428571428568,19.225,183.68999999999997,3,0,0,0
2024-03-07,Kuching,27.85,87.35,0.76,9.756666666666671,25.002857142857142,18.750000000000004,175.01999999999998,3,0,0,0
2024-03-08,Kuching,26.63,93.22,1.05,16.170000000000005,20.18285714285714,21.671428571428574,141.28,3,0,0,0
2024-03-09,Kuching,26.25,87.72,0.64,19.99333333333334,14.811428571428573,22.750714285714288,103.68,3,0,0,0
2024-03-10,Kuching,27.08,87.08,1.12,19.680000000000003,14.36,21.955714285714286,100.52,3,0,0,0
2024-03-11,Kuching,27.39,88.07,1.22,7.390000000000005,13.32142857142857,21.98928571428571,93.24999999999999,3,0,0,0
2024-03-12,Kuching,26.8,89.95,1.29,5.553333333333338,11.63142857142857,19.767142857142858,81.41999999999999,3,0,0,0
2024-03-13,Kuching,26.28,91.23,1.17,6.8266666666666715,11.634285714285713,18.937857142857144,81.44,3,0,0,0
2024-03-14,Kuching,26.62,89.57,1.13,6.880000000000005,12.088571428571427,18.54571428571429,84.61999999999999,3,0,0,0
2024-03-15,Kuching,27.0,88.81,0.95,3.9500000000000046,6.394285714285712,13.28857142857143,44.759999999999984,3,0,0,0
2024-03-16,Kuching,26.98,87.9,0.84,2.833333333333338,4.2799999999999985,9.545714285714286,29.959999999999987,3,0,0,0
2024-03-17,Kuching,27.31,89.56,1.01,1.8300000000000047,4.438571428571427,9.399285714285714,31.069999999999986,3,0,0,0
2024-03-18,Kuching,27.59,87.19,0.93,1.3766666666666714,3.8171428571428554,8.569285714285714,26.719999999999988,3,0,0,0
2024-03-19,Kuching,26.98,91.7,1.09,1.6800000000000044,2.619999999999998,7.125714285714286,18.339999999999986,3,0,0,0
2024-03-20,Kuching,26.92,89.19,1.25,3.2266666666666715,2.8957142857142837,7.265000000000001,20.269999999999985,3,0,0,0
2024-03-21,Kuching,26.97,86.18,1.13,4.410000000000005,2.7585714285714267,7.423571428571429,19.309999999999988,3,0,0,0
2024-03-22,Kuching,28.09,83.32,0.97,4.210000000000005,2.7314285714285695,4.562857142857143,19.119999999999987,3,0,0,0
2024-03-23,Kuching,27.89,90.26,0.84,5.470000000000005,4.025714285714284,4.152857142857143,28.179999999999986,3,0,0,0
2024-03-24,Kuching,27.37,91.42,1.01,6.1200000000000045,4.597142857142855,4.517857142857143,32.179999999999986,3,0,0,0
2024-03-25,Kuching,27.64,88.43,0.97,5.873333333333338,4.658571428571427,4.237857142857143,32.609999999999985,3,0,0,0
2024-03-26,Kuching,27.79,88.55,0.99,4.400000000000005,5.191428571428569,3.9057142857142857,36.33999999999998,3,0,0,0
